Individual Race Samples,Date,Race Event Name,Race Number,Horse Name,Jockey,Last Raced,Weight,Start Position,Finish Position,Odds,LIFE%WIN,AVESPRAT,W/RACE,LSPEDRAT,JOCK%WIN,JOCK#WIN,JIMISTDATA,NEWDIST,timeSinceLastRace,Age Of Horse,finishingPostioninLastRace,,,weightCarriedInPastRace,Binary Odds
,4/4/2023,Parx Racing ,161,Illustrious,Franklin Gonzalez Jr,3/17/2023,123,6,0,42.3,0.2222,55.75,"$4,298.00 ",45,,,,,18,4, 4/7,4,0.57,112,0
,4/4/2023,Parx Racing ,161,Stay Hydrated,Kemich De Jesus,3/16/2023,116,4,0,8.6,0.2857,56.5,"$26,512.00 ",17,,,,,19,6,9-Sep,9,1,120,0
,4/4/2023,Parx Racing ,162,Fine One Won,Andrew Wolfsont,3/13/2023,123,3,0,3.7,0.2,73.5,"$32,450.00 ",74,,,,,22,6,6-Apr,4,0.67,121,1
,4/4/2023,Parx Racing ,162,Miss Dillingham,Ruben Silvera,2/8/2023,123,1,0,3,0.3333,65.5,"$63,640.00 ",68,,,,,55,7, 3/8,3,0.38,124,0
,4/4/2023,Parx Racing ,162,Miss Loyalty,Jeremy Laprida,3/15/2023,123,5,0,10.5,0.0625,66.5,"$29,170.00 ",73,,,,,20,8, 2/7,2,0.29,121,0
,4/4/2023,Parx Racing ,162,luli's Dancer,Andy Hernandez,2/8/2023,123,6,0,11,0.2143,69.25,"$16,030.00 ",69,,,,,55,4,8-Feb,2,0.25,121,0
,4/4/2023,Parx Racing ,162,Ifihadachance,Mychel Sanchez,3/13/2023,126,2,0,0.8,0.3636,78.5,"$109,140.00 ",86,,,,,22,7, 1/6,1,0.17,121,0
,4/4/2023,Parx Racing ,162,Sugar Streak, Jorge Perez,3/13/2023,123,4,0,30.7,0.1875,45.75,"$22,170.00 ",51,,,,,22,7,6-Mar,3,0.5,121,0
,4/4/2023,Parx Racing ,163,Doctor Doom,Jonathan Ocasio,3/14/2023,123,1,0,6.4,0.2222,79.5,"$48,150.00 ",81,,,,,21,5, 5/6,5,0.83,121,1
,4/4/2023,Parx Racing ,163,Predominate,Silverstre Gonzalez,3/6/2023,123,8,0,17.3,0.1818,73.75,"$27,540.00 ",70,,,,,29,4,6-Mar,3,0.5,121,0
,4/4/2023,Parx Racing ,163,Beachwalker,Jaime Torres,3/6/2023,118,7,0,2.9,0.0714,82,"$69,160.00 ",76,,,,,29,6,6-Feb,2,0.33,121,0
,4/4/2023,Parx Racing ,163,Ouch Ouch Ouch,Jeremy Laprida,3/15/2023,123,3,0,6.6,0.1429,65.75,"$46,780.00 ",77,,,,,20,6,6-Feb,2,0.33,123,0
,4/4/2023,Parx Racing ,163,Storied Fella,Frankie Pennington,2/12/2023,123,4,0,14,0.1667,73,"$39,970.00 ",63,,,,,51,4, 6/7,6,0.86,120,0
,4/4/2023,Parx Racing ,163,Bird Ruler,Eliseo Ruiz,3/27/2023,113,2,0,47.6,0.1538,59.75,"$8,350.00 ",74,,,,,8,5, 3/8,3,0.38,111,0
,4/4/2023,Parx Racing ,163,Saint Marco,Gherson (Jason) Huayas,3/8/2023,121,6,0,3.6,0.1429,78,"$56,184.00 ",99,,,,,27,6, 1/8,1,0.13,114,0
,4/4/2023,Parx Racing ,163,Tuanis,Abner Adorno,2/9/2023,123,5,0,2,0.1,75.25,"$14,013.00 ",80,,,,,54,4,10-Mar,3,0.3,124,0
,4/4/2023,Parx Racing ,164,Ego Man,Silverstre Gonzalez,3/20/2023,123,1,0,1.4,0.2222,81,"$135,740.00 ",80,,,,,15,6, 3/7,3,0.43,121,1
,4/4/2023,Parx Racing ,164,Johnny Ritt,Gherson (Jason) Huayas,3/20/2023,118,2,0,5,0.1429,84.75,"$120,532.00 ",96,,,,,15,6, 1/7,1,0.14,121,0
,4/4/2023,Parx Racing ,164,In Sky We Trust,Frankie Pennington,3/15/2023,126,6,0,2.2,0.1538,89.5,"$69,415.00 ",95,,,,,20,6, 1/7,1,0.14,121,0
,4/4/2023,Parx Racing ,164,Ima Pharoah,Mychel Sanchez,2/21/2023,123,4,0,21.7,0.375,68,"$38,970.00 ",73,,,,,42,6, 1/6,1,0.17,121,0
,4/4/2023,Parx Racing ,164,B B Bad,Dexter Haddock,3/15/2023,123,3,0,3.4,0.1429,89.25,"$36,180.00 ",93,,,,,20,4, 2/7,2,0.29,121,0
,4/4/2023,Parx Racing ,164,Kefi ,Anthony Salgado,3/9/2023,126,5,0,17.3,0.3333,74.75,"$16,004.00 ",86,,,,,26,4, 1/8,1,0.13,120,0
,4/4/2023,Parx Racing ,165,Passage of LInes,Ruben Silvera,3/8/2023,123,7,0,2.5,0.2308,65.75,"$89,200.00 ",51,,,,,27,5,7-Jul,7,1,121,1
,4/4/2023,Parx Racing ,165,Gravel Road,Abner Adorno,3/15/2023,123,4,0,26.2,0.1429,59.25,"$35,780.00 ",15,,,,,20,6,9-Sep,9,1,121,0
